mid_span_km,input_power_dBm,output_power_dBm,OSNR_dB,BER_est
5.0,0.0,24.000000000000004,63.06897712967449,0.0
5.0,1.0,25.000000000000004,64.0689771296745,0.0
5.0,2.0,26.0,65.0689771296745,0.0
5.0,3.0,27.0,66.0689771296745,0.0
5.0,4.0,28.000000000000004,67.0689771296745,0.0
5.0,5.0,29.000000000000004,68.0689771296745,0.0
5.0,6.0,30.0,69.0689771296745,0.0
5.0,7.0,31.000000000000007,70.0689771296745,0.0
5.0,8.0,32.00000000000001,71.0689771296745,0.0
5.0,9.0,33.0,72.0689771296745,0.0
5.0,10.0,34.0,73.0689771296745,0.0
10.0,0.0,18.0,57.068977129674494,0.0
10.0,1.0,19.000000000000007,58.068977129674494,0.0
10.0,2.0,20.0,59.068977129674494,0.0
10.0,3.0,21.0,60.068977129674494,0.0
10.0,4.0,22.000000000000007,61.068977129674494,0.0
10.0,5.0,23.000000000000004,62.068977129674494,0.0
10.0,6.0,24.0,63.06897712967449,0.0
10.0,7.0,25.000000000000004,64.0689771296745,0.0
10.0,8.0,26.0,65.0689771296745,0.0
10.0,9.0,27.0,66.0689771296745,0.0
10.0,10.0,28.000000000000004,67.0689771296745,0.0
15.0,0.0,12.0,51.06897712967449,0.0
15.0,1.0,13.0,52.068977129674494,0.0
15.0,2.0,14.0,53.06897712967449,0.0
15.0,3.0,15.0,54.068977129674494,0.0
15.0,4.0,16.0,55.068977129674494,0.0
15.0,5.0,17.0,56.06897712967449,0.0
15.0,6.0,18.0,57.068977129674494,0.0
15.0,7.0,19.0,58.06897712967449,0.0
15.0,8.0,20.000000000000004,59.068977129674494,0.0
15.0,9.0,21.0,60.068977129674494,0.0
15.0,10.0,22.0,61.06897712967449,0.0
